fitch	113187
daly	113178
bain	113087
garland	112832
squires	112782
clifford	112554
yeager	112547
hendrickson	112492
rhoads	112421
odom	112366
helton	112364
kilgore	112338
cottrell	112302
rider	112235
jarrett	112158
ogden	112107
post	112051
booker	111951
mccabe	111921
fitzpatrick	111875
bragg	111647
jameson	111600
morley	111593
mahoney	111528
coombs	111523
childress	111490
mcgill	111364
wiseman	111346
kirkland	111299
mcdermott	111105
tilley	111070
herron	110939
farrar	110808
hinkle	110738
funk	110726
crocker	110630
goodrich	110592
lnu	110445
richey	110429
garcia	110284
carmichael	110209
pruett	110182
lehman	110168
slaughter	110150
lilly	110111
huddleston	110100
brandon	110019
madden	110011
boswell	109876
land	109679
earl	109671
gee	109624
mansfield	109559
haskins	109419
roper	109399
stacy	109391
stover	109389
adam	109383
barnhart	109137
willey	109131
willard	109101
temple	109081
dutton	108782
hitchcock	108773
bales	108730
byrne	108658
redman	108610
grace	108536
raines	108516
barns	108503
carney	108338
delaney	108296
sheets	108178
ireland	108023
daily	108011
mackenzie	107977
mccormack	107715
oakley	107686
nance	107619
parr	107618
donovan	107535
bourne	107532
dennison	107480
edward	107373
brandt	107350
cornwell	107304
david	107227
duvall	107217
waddell	107182
krueger	107171
coles	107085
mcgrath	106963
kitchen	106933
tripp	106892
whitfield	106860
lockhart	106842
ashton	106738
stinson	106711
power	106705
burrell	106690
stubbs	106479
hathaway	106292
arnett	106249
mcintire	106226
hare	106164
burr	106123
skelton	106113
langford	106079
robson	106053
craven	105907
beaty	105897
ziegler	105777
cates	105569
meade	105560
vinson	105365
cohen	105334
penny	105194
washington	105135
loomis	105133
beckett	105128
downey	105061
burnham	105056
herrington	105053
chastain	105046
leslie	104928
benjamin	104868
woolley	104750
robert	104750
caudill	104576
crews	104456
hutton	104390
dunbar	104335
culver	104304
gunter	104207
dorsey	104184
nix	104150
mccollum	104137
capps	104137
darling	104037
reeder	104015
schafer	103857
colvin	103821
skaggs	103804
partridge	103788
martinez	103739
alley	103653
deal	103591
mcneill	103430
wilkes	103369
crowley	103288
bender	103256
christie	102998
prescott	102898
daley	102866
yarbrough	102768
mcalister	102749
denison	102746
